002_place,003_event,004_active,005_open_now,006_open_time,007_close_time,008_maximum_visit_duration,009_minimum_visit_duration,010_travel_time,011_travel_distance,012_travel_mode,013_rainfall,014_sunset,015_weather_score,016_weather_dependent,017_suitable_for_weather_score,018_average_social_rating,019_number_reviews,020_suitable_for_children,021_suitable_for_groups,022_suitable_for_vision_impaired,023_suitable_for_bicycles,024_suitable_for_wheelchair,025_eat,026_see,027_do,028_popularity_now,029_popularity_avg_current_day,030_popularity_avg_current_hour,031_better_when,032_elevation,033_bicycle_duration,034_bicycle_distance,035_operated_by
1,0,1,1.0,1502143200.0,1502186400.0,7.71,2.0,3617.0,4039.0,0.0,0,1502178740,1,0.66,0.78,4.6,15,1,1,1,1,1,0.333333333333,0.333333333333,0.333333333333,,,,2.0,134.397003174,1524.0,4032.0,2.0
1,0,1,1.0,1502146800.0,1502175600.0,4.71,1.0,187.0,229.0,0.0,0,1502178740,1,0.01,0.49,5.0,2,1,0,1,0,1,0.0,0.0,1.0,,,,2.0,16.691160202,96.0,229.0,0.0
1,0,1,1.0,1502146800.0,1502172000.0,3.71,2.0,857.0,1149.0,0.0,0,1502178740,1,0.03,0.5,4.5,4,0,1,1,0,1,1.0,0.0,0.0,,,,0.0,7.7212023735,295.0,1142.0,0.0
1,0,1,1.0,1502146800.0,1502175600.0,4.71,1.0,831.0,1084.0,0.0,0,1502178740,1,0.03,0.65,4.0,14,0,1,1,0,1,0.333333333333,0.666666666667,0.0,,,,0.0,40.6452674866,270.0,1077.0,0.0
1,0,1,1.0,1502150400.0,1502179200.0,5.71,1.0,619.0,835.0,0.0,0,1502178740,1,0.02,0.0,5.0,14,0,1,0,0,0,0.0,0.0,1.0,,,,2.0,10.1784687042,206.0,874.0,0.0
1,0,1,1.0,1502146800.0,1502168400.0,2.71,1.0,1157.0,1302.0,0.0,0,1502178740,1,0.02,0.0,4.2,15,1,1,1,0,1,1.0,0.0,0.0,0.83,30.2222222222,70.5714285714,2.0,75.1377944946,637.0,1601.0,0.0
1,0,1,1.0,1502155800.0,1502166600.0,2.21,8.0,469.0,607.0,0.0,0,1502178740,1,0.02,0.0,3.7,15,0,1,1,0,1,1.0,0.0,0.0,,,,0.0,19.9926986694,224.0,607.0,0.0
1,0,1,1.0,1502141400.0,1502172000.0,3.71,1.0,230.0,320.0,0.0,0,1502178740,1,0.03,0.0,4.4,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,13.7585268021,51.0,320.0,0.0
1,0,1,1.0,1502136000.0,1502188200.0,8.21,1.0,253.0,321.0,0.0,0,1502178740,1,0.02,0.0,4.3,5,1,1,1,0,1,1.0,0.0,0.0,0.46,28.9444444444,57.1428571429,2.0,16.6123485565,90.0,369.0,0.0
1,0,1,1.0,1502150400.0,1502191800.0,9.21,1.0,623.0,799.0,0.0,0,1502178740,1,0.07,0.0,3.8,5,0,1,1,0,1,1.0,0.0,0.0,0.06,7.61111111111,7.85714285714,2.0,9.94277095795,293.0,794.0,0.0
1,0,1,0.0,,,0.0,1.0,610.0,790.0,0.0,0,1502178740,1,0.04,0.0,3.8,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,11.3373775482,252.0,785.0,0.0
1,0,1,1.0,1502157600.0,1502164800.0,1.71,1.0,454.0,573.0,0.0,0,1502178740,1,0.03,0.0,3.6,15,0,1,1,0,1,1.0,0.0,0.0,0.28,9.44444444444,12.1428571429,2.0,15.6548595428,246.0,573.0,0.0
1,0,1,1.0,1502150400.0,1502175600.0,4.71,1.0,831.0,1084.0,0.0,0,1502178740,1,0.04,0.7,4.15,14,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,38.90026474,270.0,1077.0,0.0
1,0,1,1.0,1502150400.0,1502172000.0,3.71,2.0,908.0,1243.0,0.0,0,1502178740,1,0.03,0.45,4.55,17,1,1,0,0,1,0.0,1.0,0.0,,,,0.0,5.0250954628,292.0,1304.0,2.0
1,0,1,1.0,1502157600.0,1502200800.0,11.71,1.0,111.0,151.0,0.0,0,1502178740,1,0.03,0.0,4.3,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,17.1193466187,27.0,151.0,0.0
1,0,1,1.0,1502155800.0,1502166600.0,2.21,1.0,365.0,479.0,0.0,0,1502178740,1,0.05,0.0,4.0,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,17.6904029846,154.0,479.0,0.0
1,0,1,1.0,1502157600.0,1502188200.0,8.21,1.0,266.0,367.0,0.0,0,1502178740,1,0.02,0.0,4.6,5,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,5.53062820435,103.0,537.0,0.0
1,0,1,0.0,,,0.0,1.0,261.0,340.0,0.0,0,1502178740,1,0.02,0.0,4.25,11,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,13.5376148224,108.0,340.0,0.0
1,0,1,1.0,1502141400.0,1502168400.0,2.71,1.0,465.0,572.0,0.0,0,1502178740,1,0.03,0.0,4.75,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,19.1069374084,225.0,572.0,0.0
1,0,1,1.0,1502150400.0,1502200800.0,11.71,1.0,292.0,405.0,0.0,0,1502178740,1,0.04,0.0,3.75,13,0,1,1,0,1,1.0,0.0,0.0,0.0,8.83333333333,12.2222222222,2.0,13.1993732452,137.0,593.0,0.0
1,0,1,0.0,,,0.0,1.0,709.0,909.0,0.0,0,1502178740,1,0.02,0.0,3.85,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,13.1467237473,333.0,992.0,0.0
1,0,1,1.0,1502143200.0,1502175600.0,4.71,1.0,2103.0,2805.0,0.0,0,1502178740,1,0.02,0.0,4.75,11,0,0,0,0,1,0.0,0.0,1.0,,,,2.0,17.8178787231,607.0,2812.0,0.0
1,0,1,0.0,,,0.0,1.0,577.0,756.0,0.0,0,1502178740,1,0.02,0.0,3.35,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,1.34216356277,188.0,765.0,0.0
1,0,1,1.0,1502139600.0,1502173800.0,4.21,1.0,1318.0,1646.0,0.0,0,1502178740,1,0.04,0.0,4.55,13,0,1,0,0,0,1.0,0.0,0.0,0.64,27.6666666667,63.8571428571,2.0,33.7541885376,565.0,1708.0,0.0
1,0,1,1.0,1502154000.0,1502172000.0,3.71,2.0,988.0,1355.0,0.0,0,1502178740,1,0.11,0.5,2.5,2,1,1,0,1,1,0.0,0.666666666667,0.333333333333,,,,2.0,6.02318239212,285.0,1430.0,0.0
1,0,1,1.0,1502136000.0,1502179200.0,5.71,1.0,1781.0,2133.0,0.0,0,1502178740,1,0.02,0.0,4.75,9,0,1,0,0,1,0.0,0.0,1.0,,,,2.0,70.3408966064,759.0,2177.0,0.0
1,0,1,0.0,,,0.0,1.0,261.0,364.0,0.0,0,1502178740,1,0.03,0.0,3.8,5,0,1,1,0,1,0.666666666667,0.0,0.333333333333,,,,2.0,11.5355167389,54.0,364.0,0.0
1,0,1,1.0,1502150400.0,1502193600.0,9.71,1.0,2084.0,2784.0,0.0,0,1502178740,1,0.03,0.0,3.6,15,0,1,0,0,1,1.0,0.0,0.0,0.11,14.8333333333,21.5714285714,2.0,19.1563930511,603.0,2791.0,0.0
1,0,1,1.0,1502150400.0,1502172000.0,3.71,1.0,342.0,441.0,0.0,0,1502178740,1,0.04,0.0,3.65,15,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,15.8460588455,133.0,441.0,0.0
1,0,1,1.0,1502154000.0,1502164800.0,1.71,1.0,376.0,498.0,0.0,0,1502178740,1,0.06,0.0,3.85,15,0,1,0,0,1,1.0,0.0,0.0,,,,2.0,12.2268342972,226.0,617.0,0.0
1,0,1,1.0,1502145000.0,1502173800.0,4.21,1.0,320.0,419.0,0.0,0,1502178740,1,0.05,0.0,4.25,15,0,1,1,0,1,1.0,0.0,0.0,0.46,19.8888888889,46.4285714286,2.0,15.340007782,124.0,419.0,0.0
1,0,1,1.0,1502143200.0,1502175600.0,4.71,1.0,315.0,409.0,0.0,0,1502178740,1,0.04,0.0,4.5,8,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,16.048500061,90.0,386.0,0.0
1,0,1,1.0,1502150400.0,1502175600.0,4.71,1.0,2350.0,56464.0,1.0,0,1502178740,1,0.5,0.8,4.2,5,0,0,0,0,0,0.333333333333,0.666666666667,0.0,,,,2.0,261.33404541,11676.0,56022.0,0.0
1,0,1,1.0,1502146800.0,1502173800.0,4.21,1.0,2439.0,44471.0,1.0,0,1502178740,1,0.05,0.0,4.5,5,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,378.046661377,10154.0,44046.0,0.0
1,0,1,1.0,1502146800.0,1502172000.0,3.71,2.0,3038.0,3991.0,0.0,0,1502178740,1,0.07,0.17,4.45,17,1,1,0,0,0,0.0,0.0,1.0,,,,2.0,13.1368513107,1131.0,4287.0,0.0
1,0,1,0.0,,,0.0,8.0,3202.0,64119.0,1.0,0,1502178740,1,0.0,0.0,4.2,5,0,0,0,0,0,0.0,1.0,0.0,,,,,5.42549180984,11409.0,56546.0,
1,0,1,1.0,1502145000.0,1502172000.0,3.71,1.0,2451.0,44981.0,1.0,0,1502178740,1,0.2,0.0,4.16723300971,0,0,0,0,1,0,0.0,1.0,0.0,,,,2.0,409.557312012,10354.0,45711.0,0.0
1,0,1,0.0,,,0.0,8.0,2973.0,3562.0,0.0,0,1502178740,1,0.0,0.0,4.2,5,0,0,0,0,0,0.25,0.5,0.25,,,,0.0,99.7492218018,1228.0,3558.0,0.0
1,0,1,0.0,,,0.0,,1642.0,34879.0,1.0,0,1502178740,1,0.08,0.0,3.5,5,0,1,1,0,1,0.25,0.5,0.25,,,,2.0,180.547164917,7256.0,34271.0,0.0
1,0,1,0.0,,,0.0,2.0,1633.0,34807.0,1.0,0,1502178740,1,0.08,0.0,5.0,2,0,1,0,0,1,0.0,0.75,0.25,,,,0.0,180.277984619,7243.0,34198.0,0.0
1,0,1,0.0,,,0.0,8.0,637.0,5239.0,1.0,0,1502178740,1,0.0,0.0,4.16723300971,0,0,0,0,0,0,,,,,,,,166.030883789,1815.0,5111.0,
1,0,1,0.0,,,0.0,,1733.0,35352.0,1.0,0,1502178740,1,0.16,0.0,4.2,5,0,0,0,0,0,0.0,0.666666666667,0.333333333333,,,,0.0,182.117172241,7382.0,34935.0,0.0
1,0,1,1.0,1502154000.0,1502186400.0,7.71,1.0,623.0,5027.0,1.0,0,1502178740,1,0.11,0.0,3.8,5,0,0,1,0,1,1.0,0.0,0.0,,,,2.0,148.435623169,1701.0,4899.0,0.0
1,0,1,1.0,1502143200.0,1502175600.0,4.71,1.0,1559.0,33958.0,1.0,0,1502178740,1,0.3,0.0,3.0,5,1,1,1,1,1,1.0,0.0,0.0,,,,2.0,182.978500366,7101.0,33350.0,0.0
1,0,1,0.0,,,0.0,1.0,1536.0,33480.0,1.0,0,1502178740,1,0.08,0.0,4.16723300971,0,1,1,0,0,1,0.0,1.0,0.0,,,,0.0,181.152801514,7014.0,32872.0,2.0
1,0,1,1.0,1502146800.0,1502168400.0,2.71,1.0,377.0,528.0,0.0,0,1502178740,1,0.08,0.0,4.75,14,1,1,0,1,0,0.0,1.0,0.0,,,,0.0,11.61531353,108.0,528.0,2.0
1,0,1,1.0,1502145000.0,1502179200.0,5.71,,1572.0,1959.0,0.0,0,1502178740,1,0.05,0.0,3.3,5,0,0,0,0,0,0.2,0.6,0.2,,,,0.0,28.4918346405,605.0,2031.0,0.0
1,0,1,0.0,,,0.0,1.0,1708.0,36374.0,1.0,0,1502178740,1,0.02,0.0,4.16723300971,0,0,0,0,0,1,0.0,0.0,1.0,,,,2.0,182.220153809,7399.0,35021.0,0.0
1,0,1,0.0,,,0.0,2.0,1651.0,34940.0,1.0,0,1502178740,1,0.09,0.0,4.16723300971,0,1,1,0,0,1,0.0,0.666666666667,0.333333333333,,,,2.0,183.760177612,7268.0,34332.0,1.0
1,0,1,0.0,,,0.0,1.0,1613.0,34283.0,1.0,0,1502178740,1,0.11,0.0,4.5,4,1,1,0,0,1,0.0,1.0,0.0,,,,0.0,183.027908325,7176.0,33675.0,2.0
1,0,1,0.0,,,0.0,8.0,1742.0,35578.0,1.0,0,1502178740,1,0.0,0.0,5.0,1,0,0,0,0,0,0.0,0.666666666667,0.333333333333,,,,,174.652572632,7414.0,35185.0,
1,0,1,1.0,1502141400.0,1502188200.0,8.21,1.0,1680.0,36294.0,1.0,0,1502178740,1,0.06,0.0,3.0,5,0,1,1,0,1,0.0,0.0,1.0,0.57,34.2777777778,70.2857142857,2.0,181.682449341,7311.0,34512.0,0.0
1,0,1,0.0,,,0.0,2.0,1527.0,33538.0,1.0,0,1502178740,1,0.0,0.7,4.16723300971,0,1,1,0,0,1,,,,,,,0.0,182.582214355,7026.0,32929.0,0.0
1,0,1,1.0,1502150400.0,1502172000.0,3.7,1.0,877.0,8809.0,1.0,0,1502178740,1,0.05,0.0,3.5,4,0,1,0,0,0,1.0,0.0,0.0,,,,2.0,32.6913909912,2116.0,8592.0,0.0
1,0,1,0.0,,,0.0,8.0,1859.0,31995.0,1.0,0,1502178740,1,0.0,0.0,4.16723300971,0,0,0,0,0,0,,,,,,,,133.903610229,6781.0,31570.0,
1,0,1,0.0,,,0.0,1.0,138.0,196.0,0.0,0,1502178740,1,0.71,0.8,3.0,1,1,1,1,1,1,0.0,1.0,0.0,,,,2.0,14.4861297607,32.0,196.0,3.0
1,0,1,0.0,,,0.0,2.0,2005.0,34116.0,1.0,0,1502178740,1,0.0,0.0,4.8,5,1,1,0,0,1,0.333333333333,0.666666666667,0.0,,,,0.0,144.437210083,7311.0,33691.0,0.0
1,0,1,0.0,,,0.0,1.0,1630.0,26207.0,1.0,0,1502178740,1,0.1,0.0,3.4,5,0,1,1,0,1,1.0,0.0,0.0,,,,2.0,6.07647418976,5416.0,25782.0,0.0
1,0,1,0.0,,,0.0,1.0,2026.0,33900.0,1.0,0,1502178740,1,0.04,0.0,4.16723300971,0,0,0,0,0,1,0.0,0.666666666667,0.333333333333,,,,2.0,74.4851837158,6986.0,33474.0,0.0
1,0,1,1.0,1502150400.0,1502175600.0,4.7,,2111.0,35477.0,1.0,0,1502178740,1,0.0,0.0,5.0,2,0,1,1,1,1,0.25,0.5,0.25,,,,0.0,138.827072144,7550.0,35051.0,0.0
1,0,1,1.0,1502150400.0,1502175600.0,4.7,1.0,2148.0,35591.0,1.0,0,1502178740,1,0.5,0.0,5.0,1,0,1,0,1,1,0.5,0.5,0.0,,,,2.0,104.31047821,7551.0,35165.0,0.0
1,0,1,1.0,1502154000.0,1502175600.0,4.7,2.0,2208.0,46208.0,1.0,0,1502178740,1,0.5,0.0,4.8,5,0,1,0,1,1,0.0,0.666666666667,0.333333333333,,,,0.0,26.061882019,9331.0,44306.0,0.0
1,0,1,0.0,,,0.0,8.0,2507.0,52567.0,1.0,0,1502178740,1,0.17,0.0,4.0,5,1,1,1,0,1,0.25,0.5,0.25,,,,0.0,32.2778778076,9127.0,44994.0,0.0
1,0,1,0.0,,,0.0,1.0,2595.0,53628.0,1.0,0,1502178740,1,0.0,0.0,5.0,3,0,0,0,0,0,0.0,1.0,0.0,,,,,36.9258651733,9377.0,46055.0,
1,0,1,1.0,1502148600.0,1502173800.0,4.2,1.0,2250.0,48751.0,1.0,0,1502178740,1,0.07,0.0,4.5,5,1,1,0,0,1,0.0,1.0,0.0,0.56,15.6111111111,65.2857142857,2.0,46.7906913757,8433.0,41179.0,2.0
1,0,1,1.0,1502139600.0,1502175600.0,4.7,1.0,2255.0,48819.0,1.0,0,1502178740,1,0.07,0.0,4.6,5,0,1,0,0,1,1.0,0.0,0.0,,,,2.0,42.7232551575,8435.0,41246.0,0.0
1,0,1,1.0,1502150400.0,1502175600.0,4.7,1.0,153.0,217.0,0.0,0,1502178740,1,0.05,0.37,2.9,15,1,1,0,0,1,0.0,1.0,0.0,,,,0.0,15.5870504379,67.0,217.0,2.0
1,0,1,1.0,1502245071.0,1502072271.0,86400.0,8.0,271.0,380.0,0.0,0,1502178740,1,0.01,0.0,3.55,10,1,1,1,0,1,0.25,0.5,0.25,,,,2.0,13.251039505,69.0,438.0,0.0
1,0,1,1.0,1502143200.0,1502172000.0,3.7,8.0,2235.0,48413.0,1.0,0,1502178740,1,0.0,0.0,4.16723300971,0,0,0,0,0,0,0.0,1.0,0.0,,,,,53.607925415,8389.0,40809.0,
1,0,1,0.0,,,0.0,8.0,379.0,531.0,0.0,0,1502178740,1,0.0,0.0,4.16723300971,0,0,0,0,0,0,,,,,,,,11.0636234283,108.0,531.0,
1,0,1,0.0,,,0.0,1.0,2253.0,48798.0,1.0,0,1502178740,1,0.1,0.0,4.16723300971,0,0,1,0,0,1,0.0,0.0,1.0,,,,2.0,42.7081069946,8433.0,41226.0,0.0
1,0,1,1.0,1502141400.0,1502172000.0,3.7,1.0,2242.0,48727.0,1.0,0,1502178740,1,0.07,0.0,4.8,5,0,1,0,0,1,1.0,0.0,0.0,,,,2.0,43.8262672424,8424.0,41155.0,0.0
1,0,1,1.0,1502146800.0,1502172000.0,3.7,1.0,2551.0,53222.0,1.0,0,1502178740,1,0.08,0.0,4.1,5,0,1,0,0,1,1.0,0.0,0.0,0.28,9.88888888889,35.2857142857,2.0,23.4727420807,9233.0,45650.0,0.0
1,0,1,1.0,1502150400.0,1502175600.0,4.7,1.0,1985.0,34385.0,1.0,0,1502178740,1,0.0,0.7,4.0,5,0,1,0,1,1,0.333333333333,0.666666666667,0.0,,,,0.0,95.462310791,7121.0,33959.0,0.0
1,0,1,1.0,1502154000.0,1502175600.0,4.7,1.0,2091.0,44159.0,1.0,0,1502178740,1,0.0,0.65,4.1,5,0,1,0,0,1,0.5,0.5,0.0,,,,0.0,86.1200408936,8921.0,41236.0,0.0
1,0,1,0.0,,,0.0,1.0,2350.0,50204.0,1.0,0,1502178740,1,0.03,0.0,4.5,7,0,0,0,0,1,1.0,0.0,0.0,,,,2.0,11.6757497787,10313.0,49503.0,0.0
1,0,1,1.0,1502245076.0,1502072276.0,86400.0,1.0,2191.0,49537.0,1.0,0,1502178740,1,0.07,0.0,3.1,5,0,1,0,0,1,1.0,0.0,0.0,,,,2.0,11.8503303528,10276.0,49538.0,0.0
1,0,1,0.0,,,0.0,8.0,378.0,498.0,0.0,0,1502178740,1,0.0,0.0,4.5,11,0,0,0,0,0,0.0,0.666666666667,0.333333333333,,,,,17.0875968933,157.0,498.0,
1,0,1,0.0,,,0.0,1.0,1637.0,2207.0,0.0,0,1502178740,1,0.03,0.0,2.6,5,0,0,0,0,1,1.0,0.0,0.0,,,,2.0,3.69684624672,481.0,2273.0,0.0
1,0,1,1.0,1502143200.0,1502179200.0,5.7,2.0,915.0,1057.0,0.0,0,1502178740,1,0.0,0.0,4.2,5,1,1,1,0,1,0.0,0.0,1.0,0.62,35.1666666667,67.8571428571,2.0,57.8296699524,501.0,1057.0,1.0
1,0,1,0.0,,,0.0,1.0,2579.0,53755.0,1.0,0,1502178740,1,0.08,0.0,5.0,1,0,0,0,0,1,0.0,1.0,0.0,,,,2.0,8.09448051453,9302.0,46182.0,2.0
1,0,1,0.0,,,0.0,,351.0,462.0,0.0,0,1502178740,1,0.0,0.0,4.16723300971,0,0,0,0,0,0,,,,,,,,14.799446106,132.0,462.0,
1,0,1,1.0,1502145000.0,1502179200.0,5.7,2.0,541.0,699.0,0.0,0,1502178740,1,0.9,0.8,4.8,5,1,1,0,0,1,0.0,0.666666666667,0.333333333333,,,,0.0,2.516289711,180.0,699.0,0.0
1,0,1,0.0,,,0.0,8.0,1074.0,1297.0,0.0,0,1502178740,1,0.0,0.0,4.16723300971,0,0,0,0,0,0,,,,,,,,45.9675941467,514.0,1359.0,
1,0,1,0.0,,,0.0,8.0,2700.0,54988.0,1.0,0,1502178740,1,0.0,0.0,4.16723300971,0,0,0,0,0,0,,,,,,,,20.6166648865,9582.0,47415.0,
1,0,1,0.0,,,0.0,,2314.0,50487.0,1.0,0,1502178740,1,0.0,0.0,5.0,1,0,0,0,0,0,0.0,1.0,0.0,,,,,29.9928779602,10499.0,50290.0,
1,0,1,0.0,,,0.0,8.0,3389.0,4482.0,0.0,0,1502178740,1,0.0,0.0,4.16723300971,0,0,0,0,0,0,,,,,,,,22.4273738861,950.0,4545.0,
1,0,1,0.0,,,0.0,1.0,2723.0,3118.0,0.0,0,1502178740,1,0.0,0.75,2.6,10,0,0,0,0,0,0.0,1.0,0.0,,,,0.0,141.065979004,1248.0,3129.0,2.0
1,0,1,0.0,,,0.0,,2252.0,49761.0,1.0,0,1502178740,1,0.0,0.0,5.0,1,0,0,0,0,0,1.0,0.0,0.0,,,,,9.8796415329,10309.0,49762.0,
1,0,1,1.0,1502146800.0,1502179200.0,5.7,8.0,2845.0,58527.0,1.0,0,1502178740,1,0.09,0.0,3.5,5,1,1,1,0,1,0.2,0.6,0.2,,,,0.0,6.58469581604,9797.0,48818.0,0.0
1,0,1,0.0,,,0.0,8.0,4830.0,6187.0,0.0,0,1502178740,1,0.0,0.0,4.16723300971,0,0,0,0,0,0,,,,,,,,82.6838989258,1542.0,6274.0,
1,0,1,0.0,,,0.0,8.0,1785.0,24747.0,1.0,0,1502178740,1,0.0,0.0,4.16723300971,0,0,0,0,0,0,0.0,0.666666666667,0.333333333333,,,,,131.156478882,5614.0,24226.0,
1,0,1,1.0,1502146800.0,1502182800.0,6.7,1.0,2760.0,55423.0,1.0,0,1502178740,1,0.04,0.0,4.0,5,0,1,0,0,1,1.0,0.0,0.0,0.0,11.1666666667,22.7142857143,2.0,6.50095891953,9628.0,47851.0,0.0
1,0,1,1.0,1502143200.0,1502175600.0,4.7,8.0,2255.0,49924.0,1.0,0,1502178740,1,0.02,0.0,4.2,5,1,1,1,0,1,0.25,0.5,0.25,,,,0.0,5.74153852463,10316.0,49925.0,0.0
1,0,1,1.0,1502146800.0,1502172000.0,3.7,1.0,2686.0,55185.0,1.0,0,1502178740,1,0.03,0.0,4.7,5,0,1,1,0,1,0.5,0.5,0.0,0.47,13.1111111111,48.5714285714,2.0,8.59176445007,9547.0,47613.0,0.0
1,0,1,0.0,,,0.0,8.0,2809.0,55891.0,1.0,0,1502178740,1,0.4,0.65,4.3,5,0,1,1,0,1,0.25,0.5,0.25,,,,0.0,6.00747394562,9707.0,48319.0,0.0
1,0,1,1.0,1502148600.0,1502177400.0,5.2,1.0,2143.0,48960.0,1.0,0,1502178740,1,0.06,0.0,4.6,5,0,1,0,0,1,1.0,0.0,0.0,,,,2.0,22.5113048553,10192.0,48960.0,0.0
1,0,1,1.0,1502150400.0,1502172000.0,3.7,2.0,259.0,344.0,0.0,0,1502178740,1,0.0,0.29,4.4,5,1,1,0,1,1,0.0,1.0,0.0,0.42,12.5,35.7142857143,0.0,15.7809457779,124.0,397.0,2.0
1,0,1,0.0,,,0.0,8.0,2277.0,49879.0,1.0,0,1502178740,1,0.0,0.0,4.5,2,0,0,0,0,0,0.0,1.0,0.0,,,,,9.1398525238,10353.0,49880.0,
1,0,1,1.0,1502148600.0,1502173800.0,4.2,2.0,2737.0,54961.0,1.0,0,1502178740,1,0.04,0.0,4.2,5,1,1,0,0,1,0.0,1.0,0.0,0.62,26.0,60.8571428571,2.0,2.32918357849,9541.0,47418.0,0.0
1,0,1,1.0,1502139600.0,1502182800.0,6.7,8.0,2262.0,49801.0,1.0,0,1502178740,1,0.0,0.0,4.1,5,0,0,0,0,0,0.0,0.666666666667,0.333333333333,0.55,36.2222222222,62.8571428571,,9.03757667542,10316.0,49802.0,
1,0,1,1.0,1502148600.0,1502170200.0,3.2,2.0,2735.0,54937.0,1.0,0,1502178740,1,0.04,0.0,3.9,5,1,1,0,0,1,0.0,1.0,0.0,,,,0.0,3.34936785698,9533.0,47359.0,2.0
1,0,1,0.0,,,0.0,8.0,940.0,18417.0,1.0,0,1502178740,1,0.0,0.0,4.7,3,0,0,0,0,0,0.0,1.0,0.0,,,,,164.208831787,4606.0,19146.0,
1,0,1,0.0,,,0.0,8.0,1568.0,28142.0,1.0,0,1502178740,1,0.02,0.0,5.0,5,1,1,1,0,1,0.25,0.5,0.25,,,,0.0,160.02456665,6112.0,27761.0,0.0
1,0,1,1.0,1502143200.0,1502175600.0,4.7,8.0,1286.0,23210.0,1.0,0,1502178740,1,0.0,0.0,4.6,5,0,0,0,0,0,0.0,1.0,0.0,0.03,1.33333333333,33.8571428571,,172.926544189,5490.0,23939.0,
